nb_sow, date, nb_S, nb_IN, nb_IP, nb_CP, nb_S_o, nb_IN_o, nb_IP_o, nb_CP_o, seed
87.0,154.0,0.0,520.0,305.0,132.0,0.0,47.0,245.0,579.0,1
87.0,154.0,0.0,525.0,326.0,106.0,0.0,62.0,327.0,482.0,9
87.0,154.0,0.0,514.0,218.0,225.0,0.0,66.0,127.0,678.0,7
87.0,154.0,0.0,499.0,243.0,215.0,0.0,52.0,171.0,648.0,8
87.0,147.0,15.0,894.0,319.0,600.0,0.0,0.0,0.0,0.0,4
87.0,147.0,22.0,892.0,330.0,584.0,0.0,0.0,0.0,0.0,3
87.0,147.0,35.0,888.0,389.0,516.0,0.0,0.0,0.0,0.0,0
87.0,147.0,18.0,902.0,366.0,542.0,0.0,0.0,0.0,0.0,5
87.0,147.0,13.0,911.0,290.0,614.0,0.0,0.0,0.0,0.0,1
87.0,122.0,957.0,1.0,286.0,584.0,0.0,0.0,0.0,0.0,3
87.0,122.0,957.0,1.0,153.0,717.0,0.0,0.0,0.0,0.0,7
87.0,122.0,957.0,0.0,251.0,620.0,0.0,0.0,0.0,0.0,1
87.0,122.0,957.0,0.0,168.0,703.0,0.0,0.0,0.0,0.0,2
87.0,122.0,957.0,0.0,251.0,620.0,0.0,0.0,0.0,0.0,1
86.0,154.0,0.0,506.0,312.0,128.0,0.0,56.0,261.0,544.0,4
86.0,154.0,0.0,506.0,312.0,128.0,0.0,56.0,261.0,544.0,4
86.0,154.0,0.0,473.0,254.0,219.0,0.0,53.0,149.0,659.0,2
86.0,147.0,13.0,888.0,206.0,700.0,0.0,0.0,0.0,0.0,6
86.0,154.0,0.0,509.0,289.0,148.0,0.0,47.0,276.0,538.0,1
86.0,154.0,0.0,506.0,312.0,128.0,0.0,56.0,261.0,544.0,4
86.0,147.0,11.0,898.0,384.0,514.0,0.0,0.0,0.0,0.0,5
86.0,147.0,21.0,888.0,309.0,589.0,0.0,0.0,0.0,0.0,4
86.0,147.0,21.0,888.0,309.0,589.0,0.0,0.0,0.0,0.0,4
86.0,147.0,11.0,898.0,384.0,514.0,0.0,0.0,0.0,0.0,5
86.0,122.0,946.0,0.0,155.0,706.0,0.0,0.0,0.0,0.0,6
86.0,122.0,946.0,0.0,160.0,701.0,0.0,0.0,0.0,0.0,7
85.0,147.0,24.0,876.0,299.0,587.0,0.0,0.0,0.0,0.0,3
85.0,154.0,0.0,487.0,320.0,128.0,0.0,50.0,253.0,548.0,1
85.0,154.0,0.0,476.0,247.0,212.0,0.0,51.0,153.0,647.0,6
85.0,154.0,0.0,487.0,320.0,128.0,0.0,50.0,253.0,548.0,1
86.0,122.0,946.0,0.0,276.0,585.0,0.0,0.0,0.0,0.0,3
86.0,122.0,946.0,0.0,363.0,498.0,0.0,0.0,0.0,0.0,0
85.0,154.0,0.0,516.0,233.0,186.0,0.0,50.0,183.0,618.0,7
86.0,122.0,946.0,0.0,276.0,585.0,0.0,0.0,0.0,0.0,3
85.0,154.0,0.0,505.0,303.0,127.0,0.0,52.0,257.0,542.0,4
85.0,147.0,14.0,877.0,188.0,707.0,0.0,0.0,0.0,0.0,6
85.0,122.0,935.0,0.0,340.0,511.0,0.0,0.0,0.0,0.0,5
85.0,147.0,30.0,863.0,197.0,696.0,0.0,0.0,0.0,0.0,8
85.0,122.0,935.0,0.0,340.0,511.0,0.0,0.0,0.0,0.0,5
85.0,147.0,15.0,879.0,326.0,566.0,0.0,0.0,0.0,0.0,1
85.0,147.0,21.0,874.0,192.0,699.0,0.0,0.0,0.0,0.0,7
85.0,122.0,935.0,0.0,340.0,511.0,0.0,0.0,0.0,0.0,5
85.0,122.0,935.0,0.0,240.0,611.0,0.0,0.0,0.0,0.0,3
85.0,122.0,935.0,0.0,143.0,708.0,0.0,0.0,0.0,0.0,6
84.0,154.0,0.0,476.0,305.0,143.0,0.0,61.0,253.0,527.0,1
84.0,154.0,0.0,476.0,305.0,143.0,0.0,61.0,253.0,527.0,1
84.0,122.0,924.0,0.0,259.0,582.0,0.0,0.0,0.0,0.0,3
84.0,154.0,0.0,492.0,295.0,137.0,0.0,54.0,254.0,533.0,3
84.0,147.0,19.0,877.0,172.0,697.0,0.0,0.0,0.0,0.0,6
84.0,147.0,30.0,854.0,205.0,676.0,0.0,0.0,0.0,0.0,2
84.0,154.0,0.0,501.0,218.0,205.0,0.0,50.0,136.0,655.0,8
84.0,154.0,0.0,496.0,334.0,94.0,0.0,54.0,323.0,464.0,0
84.0,147.0,17.0,871.0,182.0,695.0,0.0,0.0,0.0,0.0,8
84.0,147.0,21.0,859.0,406.0,479.0,0.0,0.0,0.0,0.0,9
84.0,122.0,924.0,0.0,163.0,678.0,0.0,0.0,0.0,0.0,2
84.0,122.0,924.0,0.0,324.0,517.0,0.0,0.0,0.0,0.0,0
84.0,147.0,17.0,871.0,182.0,695.0,0.0,0.0,0.0,0.0,8
84.0,122.0,924.0,0.0,157.0,684.0,0.0,0.0,0.0,0.0,8
84.0,122.0,924.0,0.0,259.0,582.0,0.0,0.0,0.0,0.0,3
83.0,154.0,0.0,486.0,300.0,127.0,0.0,54.0,247.0,530.0,3
83.0,154.0,0.0,469.0,319.0,125.0,0.0,56.0,232.0,543.0,4
83.0,154.0,0.0,469.0,319.0,125.0,0.0,56.0,232.0,543.0,4
83.0,154.0,0.0,502.0,205.0,206.0,0.0,50.0,137.0,644.0,2
83.0,154.0,0.0,502.0,205.0,206.0,0.0,50.0,137.0,644.0,2
83.0,147.0,11.0,855.0,299.0,579.0,0.0,0.0,0.0,0.0,3
83.0,147.0,21.0,858.0,394.0,471.0,0.0,0.0,0.0,0.0,9
83.0,147.0,20.0,858.0,197.0,669.0,0.0,0.0,0.0,0.0,2
83.0,147.0,17.0,855.0,190.0,682.0,0.0,0.0,0.0,0.0,6
83.0,147.0,24.0,840.0,298.0,582.0,0.0,0.0,0.0,0.0,4
83.0,122.0,913.0,0.0,251.0,580.0,0.0,0.0,0.0,0.0,4
83.0,122.0,913.0,1.0,146.0,684.0,0.0,0.0,0.0,0.0,2
83.0,122.0,913.0,0.0,264.0,567.0,0.0,0.0,0.0,0.0,1
83.0,122.0,913.0,0.0,340.0,491.0,0.0,0.0,0.0,0.0,0
83.0,122.0,913.0,0.0,338.0,493.0,0.0,0.0,0.0,0.0,5
82.0,154.0,0.0,489.0,294.0,119.0,0.0,55.0,252.0,514.0,1
82.0,154.0,0.0,453.0,237.0,212.0,0.0,56.0,129.0,636.0,2
82.0,154.0,0.0,489.0,315.0,98.0,0.0,50.0,328.0,443.0,9
82.0,154.0,0.0,485.0,327.0,90.0,0.0,50.0,330.0,441.0,0
82.0,147.0,21.0,846.0,385.0,471.0,0.0,0.0,0.0,0.0,5
82.0,147.0,21.0,842.0,298.0,562.0,0.0,0.0,0.0,0.0,1
82.0,154.0,0.0,489.0,294.0,119.0,0.0,55.0,252.0,514.0,1
82.0,147.0,19.0,850.0,176.0,678.0,0.0,0.0,0.0,0.0,7
82.0,147.0,20.0,841.0,315.0,547.0,0.0,0.0,0.0,0.0,3
